age,balance,products_number,active_member,churn_risk_score,risk_level
50,81290.02,3,1,87.0,High
46,0.0,1,0,87.0,High
42,132796.04,3,1,87.0,High
55,0.0,1,0,87.0,High
52,63349.75,1,0,87.0,High
35,109196.66,3,0,87.0,High
51,169312.13,1,0,86.0,High
70,110738.89,1,0,86.0,High
49,93059.34,1,0,86.0,High
43,0.0,3,1,86.0,High
40,147856.82,3,0,86.0,High
48,109349.29,1,0,86.0,High
34,127122.79,3,1,86.0,High
54,0.0,1,1,86.0,High
48,106396.48,1,1,86.0,High
52,59669.43,1,0,85.0,High
54,120952.74,1,0,85.0,High
51,186825.57,1,0,85.0,High
49,97092.87,1,0,85.0,High
56,111642.08,1,1,85.0,High
57,0.0,3,1,85.0,High
39,0.0,3,0,84.0,High
44,119530.52,1,0,84.0,High
40,78119.59,4,0,84.0,High
49,113599.74,2,0,84.0,High
55,119327.93,1,1,84.0,High
70,96947.58,3,0,84.0,High
41,0.0,3,0,84.0,High
50,98173.02,1,0,83.0,High
46,66582.81,1,0,83.0,High
48,128140.17,1,0,83.0,High
25,113113.12,1,0,83.0,High
43,107963.38,1,0,83.0,High
45,45144.43,1,0,83.0,High
44,122314.5,1,0,83.0,High
52,125396.24,1,0,83.0,High
47,0.0,1,0,83.0,High
31,127331.46,3,1,83.0,High
44,0.0,4,0,82.0,High
51,116574.84,1,0,82.0,High
32,111537.23,4,1,82.0,High
44,108895.93,1,0,82.0,High
42,116646.76,1,0,82.0,High
45,122917.71,1,1,82.0,High
56,119963.45,1,0,82.0,High
49,134956.02,1,0,82.0,High
59,130854.59,1,1,82.0,High
45,109032.23,1,1,82.0,High
45,123949.75,1,0,81.0,High
56,99340.83,1,0,81.0,High
51,99183.9,1,1,81.0,High
42,0.0,1,0,81.0,High
51,100654.8,1,0,81.0,High
54,92877.33,1,0,81.0,High
50,125437.64,1,1,81.0,High
58,0.0,3,1,80.0,High
47,0.0,1,0,80.0,High
62,140745.33,1,0,80.0,High
50,0.0,1,1,80.0,High
47,122949.14,1,0,80.0,High
64,113109.52,1,0,79.0,High
57,101247.06,1,0,79.0,High
41,119276.31,1,0,79.0,High
57,111359.55,2,0,79.0,High
53,124954.94,1,1,79.0,High
43,99906.89,1,0,79.0,High
43,202443.47,1,0,79.0,High
49,0.0,1,0,79.0,High
31,132084.66,3,1,79.0,High
39,124586.93,1,0,78.0,High
52,103023.26,1,1,78.0,High
46,111288.18,1,1,78.0,High
39,102945.01,1,0,78.0,High
40,62389.03,3,0,78.0,High
39,115341.19,1,1,78.0,High
42,117691.0,1,1,78.0,High
40,111524.49,1,1,77.0,High
45,108231.37,1,1,77.0,High
49,96252.98,2,0,77.0,High
41,126550.7,1,0,77.0,High
33,130862.43,1,1,77.0,High
63,165350.61,2,0,77.0,High
51,0.0,3,0,77.0,High
48,133994.52,1,1,77.0,High
47,61196.54,1,0,76.0,High
36,103914.17,1,1,76.0,High
47,0.0,1,1,76.0,High
46,174701.05,1,0,75.0,High
49,147069.78,1,0,75.0,High
55,108477.27,1,1,75.0,High
44,138843.7,1,0,75.0,High
47,130747.1,1,0,75.0,High
50,123936.54,1,1,74.0,High
46,98752.51,1,0,74.0,High
45,114959.12,1,0,74.0,High
59,154110.99,2,0,74.0,High
45,121874.89,1,0,74.0,High
59,120170.07,1,1,74.0,High
71,170252.05,3,1,74.0,High
42,56228.25,1,0,74.0,High
51,40685.92,1,1,73.0,High
55,0.0,4,1,73.0,High
48,148116.48,1,0,73.0,High
41,0.0,3,0,73.0,High
42,115930.87,1,0,73.0,High
44,175303.06,1,0,72.0,High
40,108407.34,1,1,72.0,High
63,114552.6,1,0,71.0,High
43,0.0,1,0,71.0,High
51,126725.25,1,0,71.0,High
54,97382.53,1,1,71.0,High
32,106807.64,1,1,71.0,High
49,132934.89,1,0,71.0,High
47,0.0,1,0,71.0,High
43,115888.04,1,1,71.0,High
43,108508.82,3,0,70.0,High
46,0.0,1,1,70.0,High
51,138214.5,1,0,70.0,High
62,118233.81,1,1,70.0,High
38,0.0,1,0,70.0,High
46,107978.4,2,0,70.0,High
56,119496.25,2,0,69.0,High
48,0.0,1,0,69.0,High
63,123204.88,1,1,69.0,High
45,85325.93,1,0,69.0,High
40,107041.3,1,1,69.0,High
41,98612.1,1,0,69.0,High
49,0.0,1,0,69.0,High
31,117153.0,1,1,69.0,High
47,128486.11,1,0,69.0,High
44,23503.31,1,1,69.0,High
38,0.0,1,1,69.0,High
50,155393.32,1,1,69.0,High
46,65733.41,1,0,68.0,High
44,111100.98,1,1,68.0,High
55,63127.41,2,0,68.0,High
42,119919.12,1,0,68.0,High
49,173434.9,1,0,68.0,High
44,92436.86,1,0,68.0,High
42,0.0,1,0,68.0,High
57,163146.46,1,0,68.0,High
46,97042.6,1,1,67.0,High
38,0.0,3,0,67.0,High
41,124227.14,1,1,67.0,High
36,44054.84,1,1,67.0,High
64,128751.65,2,0,67.0,High
48,168286.58,1,0,67.0,High
47,109387.33,1,0,67.0,High
40,134590.21,1,1,67.0,High
39,109698.41,1,1,66.0,High
49,121973.28,1,0,66.0,High
45,0.0,1,0,66.0,High
76,95052.29,1,0,65.0,High
52,161209.66,1,1,65.0,High
35,0.0,3,1,65.0,High
53,0.0,1,1,65.0,High
37,0.0,3,0,65.0,High
74,108891.7,1,0,65.0,High
47,125724.95,2,0,65.0,High
53,0.0,2,0,65.0,High
47,0.0,1,1,64.0,High
32,0.0,4,1,64.0,High
44,149961.11,1,0,64.0,High
44,0.0,1,1,64.0,High
38,128218.47,1,0,64.0,High
38,0.0,1,1,64.0,High
36,129745.1,1,1,64.0,High
53,170491.84,1,0,64.0,High
43,127940.47,1,0,64.0,High
28,0.0,1,0,63.0,High
59,108585.35,1,1,63.0,High
57,113386.36,2,1,63.0,High
64,145215.43,1,1,63.0,High
37,129965.18,1,0,63.0,High
30,129753.69,1,0,63.0,High
44,153548.12,1,0,63.0,High
41,144260.5,1,0,63.0,High
44,81811.71,1,0,63.0,High
31,40915.55,1,0,62.0,High
41,130931.83,1,1,62.0,High
59,0.0,1,1,62.0,High
32,0.0,3,1,62.0,High
35,116269.01,1,0,62.0,High
47,0.0,1,0,62.0,High
44,189318.16,2,0,62.0,High
38,113599.42,1,0,62.0,High
45,164450.94,1,0,62.0,High
41,0.0,3,0,62.0,High
42,133636.16,1,1,61.0,High
42,0.0,1,1,61.0,High
52,97720.35,2,0,61.0,High
46,122549.64,1,1,61.0,High
44,152086.15,1,1,61.0,High
47,95120.59,1,0,61.0,High
29,133681.78,1,1,60.0,Medium
40,128644.46,1,0,60.0,Medium
43,116360.07,1,0,60.0,Medium
48,69329.47,1,0,60.0,Medium
48,138311.76,1,1,60.0,Medium
45,156353.46,1,0,60.0,Medium
64,105736.32,1,1,60.0,Medium
61,125193.96,1,1,60.0,Medium
50,121159.65,1,0,60.0,Medium
38,0.0,1,0,60.0,Medium
36,109646.83,1,1,60.0,Medium
32,149814.54,1,0,59.0,Medium
39,0.0,1,0,59.0,Medium
36,0.0,3,1,59.0,Medium
33,138335.96,1,1,59.0,Medium
49,0.0,1,1,58.0,Medium
42,165679.92,1,0,58.0,Medium
40,28649.64,1,1,58.0,Medium
41,0.0,4,1,58.0,Medium
37,105489.31,1,0,58.0,Medium
35,132253.22,1,0,57.0,Medium
42,75302.85,2,0,57.0,Medium
48,179380.74,2,1,57.0,Medium
35,110067.71,1,0,57.0,Medium
36,143421.74,1,0,57.0,Medium
37,109974.22,1,1,57.0,Medium
28,0.0,1,0,57.0,Medium
46,110031.09,2,1,57.0,Medium
36,99806.85,1,1,57.0,Medium
28,0.0,3,0,57.0,Medium
36,0.0,1,0,56.0,Medium
45,0.0,1,0,56.0,Medium
36,0.0,1,0,56.0,Medium
52,135870.01,2,0,56.0,Medium
39,0.0,1,0,56.0,Medium
33,122325.58,1,0,56.0,Medium
53,114233.18,1,1,56.0,Medium
37,133200.09,1,0,56.0,Medium
41,110624.99,1,0,56.0,Medium
45,157332.26,1,0,56.0,Medium
51,0.0,1,1,56.0,Medium
45,158621.04,1,0,56.0,Medium
53,45472.28,1,1,56.0,Medium
21,114292.48,1,0,55.0,Medium
42,99836.47,1,1,55.0,Medium
43,128760.32,1,0,55.0,Medium
66,111577.01,1,1,55.0,Medium
41,0.0,1,0,55.0,Medium
46,62212.29,1,1,55.0,Medium
47,148826.32,1,1,55.0,Medium
31,186796.37,1,0,55.0,Medium
45,103909.86,1,0,55.0,Medium
45,134264.04,1,0,54.0,Medium
35,103214.71,1,0,54.0,Medium
43,0.0,1,1,54.0,Medium
37,108308.11,1,0,54.0,Medium
30,112013.81,1,0,54.0,Medium
42,0.0,1,1,54.0,Medium
48,92347.96,1,1,54.0,Medium
45,138825.19,1,0,54.0,Medium
40,0.0,1,1,54.0,Medium
39,0.0,1,1,54.0,Medium
29,101012.77,1,0,54.0,Medium
40,115465.98,1,1,54.0,Medium
48,116711.06,2,0,54.0,Medium
47,134032.01,1,0,54.0,Medium
49,172713.44,1,0,54.0,Medium
42,139707.28,1,0,53.0,Medium
58,145984.92,1,1,53.0,Medium
50,127552.85,2,0,53.0,Medium
37,124053.03,1,0,53.0,Medium
44,88915.85,1,0,53.0,Medium
44,92911.52,1,1,53.0,Medium
42,0.0,1,1,53.0,Medium
37,0.0,1,0,53.0,Medium
40,100480.53,1,0,53.0,Medium
40,147171.2,1,1,53.0,Medium
33,119278.44,1,1,53.0,Medium
40,122038.34,1,0,53.0,Medium
45,139859.23,1,1,53.0,Medium
19,143390.51,1,0,53.0,Medium
41,0.0,1,1,53.0,Medium
50,113957.01,2,0,53.0,Medium
46,142360.62,2,0,53.0,Medium
45,53667.44,1,0,52.0,Medium
57,137936.94,1,1,52.0,Medium
71,69608.14,1,0,52.0,Medium
44,136836.49,1,0,52.0,Medium
44,0.0,1,0,52.0,Medium
27,129810.6,1,1,52.0,Medium
38,60013.81,1,1,52.0,Medium
42,0.0,1,0,52.0,Medium
38,130170.82,1,1,52.0,Medium
43,137638.69,1,0,52.0,Medium
48,129120.64,1,1,52.0,Medium
61,137655.31,1,1,52.0,Medium
28,155060.41,1,0,52.0,Medium
47,128252.66,1,1,52.0,Medium
48,110463.25,2,1,52.0,Medium
66,0.0,1,0,52.0,Medium
69,115462.44,1,0,51.0,Medium
46,0.0,1,0,51.0,Medium
39,0.0,1,0,51.0,Medium
41,103154.66,1,0,51.0,Medium
42,0.0,1,1,51.0,Medium
35,0.0,1,0,51.0,Medium
35,14262.8,2,0,51.0,Medium
43,0.0,1,1,51.0,Medium
50,128039.01,1,1,51.0,Medium
59,0.0,2,0,51.0,Medium
58,102346.86,1,1,51.0,Medium
44,0.0,2,0,50.0,Medium
45,139825.56,1,0,50.0,Medium
37,0.0,2,1,50.0,Medium
45,146758.24,1,0,50.0,Medium
34,146422.22,1,0,50.0,Medium
47,91522.04,2,1,50.0,Medium
45,0.0,1,0,50.0,Medium
48,118207.69,2,0,50.0,Medium
36,103294.56,1,0,50.0,Medium
54,68332.96,1,1,49.0,Medium
67,0.0,3,1,49.0,Medium
20,124365.42,1,0,49.0,Medium
44,129974.79,2,1,49.0,Medium
33,0.0,1,0,49.0,Medium
52,0.0,1,1,49.0,Medium
37,0.0,3,1,49.0,Medium
50,94504.35,1,1,49.0,Medium
56,0.0,1,1,49.0,Medium
40,167878.5,1,1,49.0,Medium
42,115961.58,2,1,49.0,Medium
36,140355.56,2,0,49.0,Medium
50,104129.24,2,0,49.0,Medium
32,130627.66,1,0,49.0,Medium
37,115217.99,2,0,49.0,Medium
39,137843.8,1,1,48.0,Medium
47,118560.0,1,0,48.0,Medium
49,204510.94,1,1,48.0,Medium
43,105301.5,1,1,48.0,Medium
41,115465.28,1,0,48.0,Medium
31,108914.17,1,1,48.0,Medium
38,116520.28,1,1,48.0,Medium
40,0.0,1,1,48.0,Medium
41,127087.06,1,0,48.0,Medium
46,106521.49,1,1,48.0,Medium
44,139432.37,1,0,48.0,Medium
41,132670.53,1,0,48.0,Medium
41,153238.88,1,0,47.0,Medium
36,119799.27,2,0,47.0,Medium
39,75339.64,1,1,47.0,Medium
44,133866.22,1,1,47.0,Medium
26,102395.79,1,0,47.0,Medium
56,138227.19,2,1,47.0,Medium
44,0.0,1,1,47.0,Medium
41,0.0,1,1,47.0,Medium
32,117070.21,1,0,47.0,Medium
46,0.0,1,0,47.0,Medium
40,61671.19,1,1,46.0,Medium
35,124098.54,1,0,46.0,Medium
46,119492.88,2,1,46.0,Medium
46,177619.71,1,0,46.0,Medium
46,127476.73,2,1,46.0,Medium
46,79385.21,2,0,46.0,Medium
42,121453.63,1,0,46.0,Medium
40,113794.22,1,0,46.0,Medium
33,132603.36,1,0,46.0,Medium
40,77641.99,1,0,46.0,Medium
37,100431.84,1,0,46.0,Medium
50,144895.05,2,1,46.0,Medium
44,81553.93,1,0,46.0,Medium
39,126935.98,2,1,46.0,Medium
53,121389.78,1,1,46.0,Medium
44,76495.04,1,0,46.0,Medium
41,130385.82,1,1,45.0,Medium
41,0.0,1,1,45.0,Medium
19,0.0,1,0,45.0,Medium
46,157866.77,1,1,45.0,Medium
35,0.0,1,1,45.0,Medium
50,139675.07,2,0,45.0,Medium
36,0.0,1,0,45.0,Medium
40,0.0,1,0,45.0,Medium
22,0.0,1,0,45.0,Medium
50,0.0,2,0,45.0,Medium
40,79035.95,1,0,45.0,Medium
53,113537.73,1,1,44.0,Medium
46,0.0,2,0,44.0,Medium
28,113690.83,1,0,44.0,Medium
37,128645.67,1,0,44.0,Medium
44,123322.15,1,0,44.0,Medium
31,175443.75,1,0,44.0,Medium
39,133707.09,1,1,44.0,Medium
40,133245.52,2,1,44.0,Medium
41,142015.76,2,0,44.0,Medium
40,99745.95,1,0,44.0,Medium
42,50194.59,1,1,44.0,Medium
42,0.0,1,0,44.0,Medium
40,74896.92,1,0,44.0,Medium
49,128663.9,1,0,44.0,Medium
45,88656.37,2,0,44.0,Medium
35,0.0,1,0,44.0,Medium
39,95252.72,1,0,44.0,Medium
40,55776.39,2,0,44.0,Medium
40,125832.2,1,1,44.0,Medium
43,148962.76,1,1,43.0,Medium
31,111589.67,1,0,43.0,Medium
41,126670.37,1,0,43.0,Medium
35,59408.63,1,0,43.0,Medium
55,155196.17,1,1,43.0,Medium
42,85679.25,1,1,43.0,Medium
43,79120.27,1,0,43.0,Medium
46,141726.88,1,1,43.0,Medium
44,96553.52,2,0,43.0,Medium
32,178095.55,1,0,43.0,Medium
47,160729.1,1,1,43.0,Medium
36,114997.42,1,0,43.0,Medium
35,95698.79,1,1,43.0,Medium
54,152677.48,1,1,43.0,Medium
34,132439.99,1,0,43.0,Medium
47,90450.0,2,0,43.0,Medium
46,170826.55,2,0,43.0,Medium
40,105683.63,1,0,43.0,Medium
42,0.0,1,1,43.0,Medium
36,119984.07,1,0,43.0,Medium
39,160903.2,1,0,43.0,Medium
40,139022.24,1,1,43.0,Medium
32,104336.43,2,0,42.0,Medium
40,139180.97,1,1,42.0,Medium
38,82259.29,1,0,42.0,Medium
43,0.0,1,0,42.0,Medium
41,123475.04,1,1,42.0,Medium
37,156091.97,1,0,42.0,Medium
41,153895.65,1,1,42.0,Medium
32,132178.67,1,0,42.0,Medium
38,0.0,1,0,42.0,Medium
40,0.0,1,0,42.0,Medium
40,124788.18,1,0,42.0,Medium
38,144606.22,1,1,42.0,Medium
44,107726.93,2,0,42.0,Medium
38,103653.51,2,1,42.0,Medium
39,91068.56,1,0,42.0,Medium
41,109941.51,1,0,42.0,Medium
40,0.0,1,1,42.0,Medium
43,110646.54,1,0,42.0,Medium
37,166115.42,1,0,42.0,Medium
42,137560.38,2,1,42.0,Medium
33,0.0,1,0,42.0,Medium
30,0.0,1,0,41.0,Medium
48,127253.98,1,1,41.0,Medium
40,123497.58,1,0,41.0,Medium
35,121863.61,1,1,41.0,Medium
28,0.0,1,0,41.0,Medium
41,57568.94,1,1,41.0,Medium
37,96558.66,1,0,41.0,Medium
30,136650.89,1,1,41.0,Medium
38,0.0,1,0,41.0,Medium
39,0.0,1,0,41.0,Medium
41,112119.48,1,0,41.0,Medium
38,142316.14,1,1,41.0,Medium
42,80380.24,1,0,41.0,Medium
31,41299.03,1,1,40.0,Medium
42,120233.83,1,0,40.0,Medium
30,0.0,1,0,40.0,Medium
55,155828.22,1,1,40.0,Medium
28,115265.14,1,0,40.0,Medium
42,108010.78,1,1,40.0,Medium
42,192390.52,2,0,40.0,Medium
25,108738.71,2,0,40.0,Medium
44,125512.98,2,0,40.0,Medium
34,129398.01,2,0,40.0,Medium
52,93590.47,1,1,40.0,Medium
40,114446.84,2,1,40.0,Medium
39,0.0,1,1,40.0,Medium
39,146200.01,1,0,40.0,Medium
41,125785.23,1,1,40.0,Medium
41,109508.68,1,0,40.0,Medium
34,74309.81,1,0,40.0,Medium
46,95502.21,1,0,40.0,Medium
42,106036.52,1,0,40.0,Medium
36,91286.51,1,0,40.0,Medium
33,115130.34,1,0,40.0,Medium
32,0.0,1,0,40.0,Medium
41,146720.98,2,1,39.0,Medium
58,53772.73,1,1,39.0,Medium
43,116121.67,1,0,39.0,Medium
45,80793.58,1,1,39.0,Medium
51,155903.82,2,1,39.0,Medium
45,143734.01,2,1,39.0,Medium
46,74458.25,1,1,39.0,Medium
39,0.0,1,0,39.0,Medium
21,132312.06,1,0,39.0,Medium
63,0.0,2,0,39.0,Medium
50,136953.47,1,1,39.0,Medium
59,126224.87,1,1,39.0,Medium
41,154007.21,1,0,39.0,Medium
45,135827.33,2,1,39.0,Medium
41,143350.41,1,1,39.0,Medium
41,115144.68,1,0,38.0,Medium
41,153198.23,1,1,38.0,Medium
41,101179.23,2,1,38.0,Medium
36,174180.39,1,0,38.0,Medium
42,124626.07,1,1,38.0,Medium
29,129750.68,1,0,38.0,Medium
38,134887.53,1,1,38.0,Medium
51,104760.82,1,1,38.0,Medium
33,152302.72,1,0,38.0,Medium
58,216109.88,1,1,38.0,Medium
34,122952.9,2,0,38.0,Medium
42,99580.13,1,0,38.0,Medium
43,123105.88,2,0,38.0,Medium
36,0.0,1,0,38.0,Medium
40,102800.65,1,0,38.0,Medium
56,96951.21,1,1,37.0,Medium
42,75681.52,1,1,37.0,Medium
43,119127.46,2,0,37.0,Medium
45,129209.48,1,0,37.0,Medium
35,122917.69,1,1,37.0,Medium
41,136733.24,1,1,37.0,Medium
42,92578.14,2,0,37.0,Medium
47,117879.32,1,1,37.0,Medium
40,0.0,1,0,37.0,Medium
26,180530.51,1,0,37.0,Medium
22,101528.61,1,0,37.0,Medium
38,59360.77,1,1,37.0,Medium
32,0.0,1,0,37.0,Medium
38,166328.65,2,1,37.0,Medium
33,187257.94,1,1,37.0,Medium
45,99169.67,2,1,36.0,Medium
41,108128.52,1,1,36.0,Medium
58,101579.28,1,1,36.0,Medium
63,139529.93,2,1,36.0,Medium
49,82321.88,1,1,36.0,Medium
32,109196.67,2,0,36.0,Medium
29,166930.76,2,0,36.0,Medium
40,84315.02,1,0,36.0,Medium
46,150213.71,1,0,36.0,Medium
55,110123.59,1,1,36.0,Medium
29,99250.08,1,1,36.0,Medium
48,138333.03,1,1,36.0,Medium
41,0.0,1,1,36.0,Medium
58,116353.2,2,1,36.0,Medium
43,160416.56,1,1,36.0,Medium
37,95845.6,1,0,36.0,Medium
34,127758.09,1,0,36.0,Medium
48,138778.15,1,1,36.0,Medium
52,111284.53,1,1,35.0,Medium
42,152160.21,2,0,35.0,Medium
39,136258.06,1,0,35.0,Medium
44,121250.04,1,1,35.0,Medium
40,0.0,1,1,35.0,Medium
37,0.0,1,0,35.0,Medium
39,0.0,1,1,35.0,Medium
42,190569.23,1,1,35.0,Medium
40,100471.34,1,1,35.0,Medium
42,0.0,2,0,35.0,Medium
29,141389.06,1,0,35.0,Medium
39,118336.14,1,0,35.0,Medium
41,87541.06,2,1,35.0,Medium
27,0.0,3,1,35.0,Medium
39,76769.68,1,0,35.0,Medium
62,0.0,1,1,35.0,Medium
49,150777.72,2,1,34.0,Medium
38,86569.76,2,0,34.0,Medium
62,137727.34,2,1,34.0,Medium
45,109044.3,1,1,34.0,Medium
68,126061.51,2,1,34.0,Medium
30,154159.51,1,0,34.0,Medium
41,84622.13,1,1,34.0,Medium
44,112610.77,1,1,34.0,Medium
69,0.0,2,0,34.0,Medium
47,127286.04,2,1,34.0,Medium
34,83264.28,1,0,34.0,Medium
29,43504.42,1,1,34.0,Medium
32,151922.94,1,0,34.0,Medium
39,152462.79,1,0,34.0,Medium
30,145127.85,1,0,34.0,Medium
30,0.0,1,0,34.0,Medium
39,151963.26,2,0,34.0,Medium
38,171913.87,1,0,33.0,Medium
33,0.0,1,1,33.0,Medium
39,122524.61,2,0,33.0,Medium
31,138317.94,1,0,33.0,Medium
42,98548.62,2,1,33.0,Medium
43,166522.78,1,0,33.0,Medium
39,111695.62,1,0,33.0,Medium
67,123276.69,2,1,33.0,Medium
19,0.0,1,1,33.0,Medium
42,137781.65,1,0,33.0,Medium
38,0.0,1,0,33.0,Medium
27,62092.9,1,1,33.0,Medium
45,116546.59,2,0,32.0,Medium
29,140720.93,1,0,32.0,Medium
30,127406.5,1,0,32.0,Medium
55,154393.43,1,1,32.0,Medium
53,109330.06,1,1,32.0,Medium
43,161807.18,2,1,32.0,Medium
59,0.0,2,0,32.0,Medium
40,148790.61,1,1,32.0,Medium
34,0.0,1,1,32.0,Medium
41,58820.32,2,1,32.0,Medium
35,147285.52,1,1,31.0,Medium
35,127801.88,1,1,31.0,Medium
34,148962.46,1,0,31.0,Medium
59,152614.51,2,1,31.0,Medium
39,112687.69,1,1,31.0,Medium
18,0.0,2,1,31.0,Medium
35,122570.69,1,0,31.0,Medium
52,100755.66,1,1,31.0,Medium
39,136000.45,2,0,31.0,Medium
40,109542.29,1,1,31.0,Medium
45,124693.48,1,1,31.0,Medium
45,123859.6,1,1,31.0,Medium
31,0.0,1,1,31.0,Medium
39,129709.62,1,0,31.0,Medium
39,0.0,1,0,31.0,Medium
50,159304.07,1,1,31.0,Medium
32,0.0,1,0,30.0,Low
38,0.0,1,1,30.0,Low
31,51293.47,1,0,30.0,Low
40,136093.74,1,1,30.0,Low
30,0.0,2,1,30.0,Low
62,167026.61,2,1,30.0,Low
27,135277.96,1,0,30.0,Low
61,66250.71,1,1,30.0,Low
42,63227.0,1,1,30.0,Low
27,0.0,1,0,30.0,Low
41,0.0,1,1,30.0,Low
33,122394.0,1,1,30.0,Low
32,160680.41,1,0,30.0,Low
39,0.0,1,0,30.0,Low
37,137794.18,2,1,30.0,Low
32,146033.62,1,0,30.0,Low
38,88736.44,2,0,29.0,Low
39,121778.71,1,1,29.0,Low
39,182491.57,1,0,29.0,Low
50,78737.61,1,1,29.0,Low
38,74306.19,2,0,29.0,Low
34,106288.54,1,1,29.0,Low
49,202904.64,1,1,29.0,Low
44,168165.84,1,1,29.0,Low
40,0.0,2,0,29.0,Low
54,134249.7,1,1,29.0,Low
38,38848.19,2,0,29.0,Low
37,113865.23,2,1,29.0,Low
30,136622.55,2,0,29.0,Low
38,122447.76,1,0,29.0,Low
63,120787.18,2,1,29.0,Low
36,0.0,1,1,29.0,Low
48,102290.56,2,0,29.0,Low
38,107283.4,1,0,28.0,Low
36,74974.89,1,1,28.0,Low
36,99240.51,1,0,28.0,Low
22,118680.57,1,1,28.0,Low
37,98459.6,1,0,28.0,Low
37,168066.87,1,0,28.0,Low
36,138992.48,2,0,28.0,Low
41,150302.84,1,1,28.0,Low
44,142051.07,2,1,28.0,Low
44,0.0,2,0,28.0,Low
47,148636.21,1,1,28.0,Low
63,137715.66,1,1,28.0,Low
41,80542.81,1,0,28.0,Low
48,136596.85,1,1,28.0,Low
53,113709.28,1,1,28.0,Low
73,137761.55,1,1,28.0,Low
36,77967.5,1,0,28.0,Low
35,126397.66,1,0,28.0,Low
43,0.0,2,0,28.0,Low
37,140363.95,2,1,28.0,Low
43,0.0,2,0,28.0,Low
31,0.0,1,0,28.0,Low
69,183744.98,1,1,28.0,Low
59,170331.37,1,1,28.0,Low
37,96651.03,1,1,28.0,Low
23,0.0,1,0,28.0,Low
33,124067.32,1,1,28.0,Low
40,124339.9,1,0,27.0,Low
38,113607.47,1,0,27.0,Low
40,101891.1,1,1,27.0,Low
39,162390.52,2,0,27.0,Low
28,179960.2,1,0,27.0,Low
66,103291.25,2,1,27.0,Low
30,122924.75,1,0,27.0,Low
40,141782.57,2,0,27.0,Low
48,0.0,2,0,27.0,Low
37,157084.99,1,0,27.0,Low
34,0.0,1,0,27.0,Low
42,104430.08,1,1,27.0,Low
43,163159.85,1,1,27.0,Low
29,144287.6,2,0,27.0,Low
31,125175.58,1,1,27.0,Low
41,0.0,1,1,27.0,Low
33,88294.6,1,0,27.0,Low
